bvid,title,published_at,video_url,description,status,notes
BV11GE26xEXW,武汉新店探店实测，到底值不值得去,2026-06-12,https://www.bilibili.com/video/BV11GE26xEXW,很多朋友问我要探店合集和店铺地图，这一次它终于来了，打开鸭觅，关注我同名账号，我把所有吃过的店全部登录在鸭觅主页了，有推荐勺子指数，也有按照口味，类别做的专门合集，更有鸭觅自带地图，一键查询你附近有哪些宝藏店铺，快去下载关注我吧，爱你们~,待筛选,
BV1izEz69EBE,以鸭代鹅的可不止鹅腿阿姨,2026-06-11,https://www.bilibili.com/video/BV1izEz69EBE,,待筛选,
BV1APES6bErr,武汉的川菜分为两种，一种叫四川，一种叫汉川,2026-06-10,https://www.bilibili.com/video/BV1APES6bErr,江岸区城中村改造K4地块2号商业1层商6室：林红川菜馆(美联城观店),待筛选,
BV1sgEH6DEgZ,武汉的西餐是有东西的,2026-06-07,https://www.bilibili.com/video/BV1sgEH6DEgZ,洪山区欢乐大道168号东方里商业街S1栋1层1-4号：炙响RESON•炭火料理餐厅,待筛选,
BV1yw7R63EXp,20 斤龙虾 5 种吃法，爽！,2026-06-04,https://www.bilibili.com/video/BV1yw7R63EXp,,待筛选,
